rank,name,pagerank,in_degree,out_degree
1,unicode-xid,0.024479,61,0
2,proc-macro2,0.022740,1659,1
3,libc,0.021745,3276,0
4,serde,0.017907,8122,0
5,cfg-if,0.015822,433,0
6,log,0.011643,5514,1
7,quote,0.011213,2114,1
8,num-traits,0.011008,1087,0
9,syn,0.010880,2139,2
10,winapi,0.010108,1144,2
11,lazy_static,0.008311,3298,0
12,rand,0.008149,3012,3
13,serde_json,0.007705,5511,3
14,clap,0.006895,3526,6
15,byteorder,0.006274,1781,0
16,bitflags,0.005644,1043,0
17,rand_core,0.005581,154,0
18,regex,0.005148,2520,1
19,futures,0.004538,2807,6
20,regex-syntax,0.004435,43,0
21,serde_derive,0.004421,3520,3
22,winapi-i686-pc-windows-gnu,0.004290,2,0
23,winapi-x86_64-pc-windows-gnu,0.004290,2,0
24,chrono,0.004234,2587,2
25,memchr,0.003706,172,0
26,failure,0.003381,1941,0
27,thiserror,0.003272,1581,1
28,num-integer,0.003105,110,1
29,bytes,0.003044,1341,0
30,unicode-width,0.003015,176,0
31,itoa,0.002898,68,0
32,thiserror-impl,0.002744,1,3
33,pin-project-lite,0.002585,69,0
34,tokio,0.002561,1697,1
35,nom,0.002533,703,1
36,structopt,0.002487,1565,3
37,url,0.002413,1600,4
38,rand_chacha,0.002366,59,2
39,ryu,0.002365,29,0
40,futures-core,0.002355,177,0
41,rand_hc,0.002298,7,1
42,reqwest,0.002282,1606,25
43,nb,0.002270,202,0
44,either,0.002232,251,0
45,hyper,0.002177,1504,15
46,typenum,0.002144,139,0
47,embedded-hal,0.002116,464,1
48,num,0.002074,620,5
49,hashbrown,0.001898,158,0
50,generic-array,0.001822,172,1
51,indexmap,0.001798,324,1
52,itertools,0.001776,1017,1
53,anyhow,0.001754,1289,0
54,time,0.001738,789,3
55,wasm-bindgen,0.001707,343,2
56,base64,0.001622,1032,0
57,toml,0.001579,1205,1
58,futures-util,0.001470,327,4
59,vcell,0.001399,290,0
60,rustc-serialize,0.001347,516,0
